customer_id,kyc_refresh_due_date,aml_risk_rating,pep_status_flag,crs_tax_residency,fatca_classification,updated_at
bf3b83b7-bc1f-4da9-9006-ba14a9af9d20,2026-06-07,Low,false,PK,Compliant,2026-02-20T10:56:27.073Z
aaa400cf-b4c2-453b-8fd5-86a709310e62,2026-10-05,High,false,SL,Compliant,2026-02-20T10:56:27.073Z
d2ffdc67-4a6b-4560-a18b-eae692701c3a,2026-07-04,High,false,AW,Compliant,2026-02-20T10:56:27.074Z
b573a1cb-5cfe-4ae0-a2b1-fb526f42e448,2027-01-24,Medium,false,TH,Compliant,2026-02-20T10:56:27.074Z
1e896fbb-bb7a-4cbd-9c51-f418eace509f,2027-10-25,Medium,false,AW,Compliant,2026-02-20T10:56:27.074Z
9e24560d-bb01-4966-bc2e-ca9f0df57a94,2026-02-27,Low,false,MF,Compliant,2026-02-20T10:56:27.074Z
2ad4aa44-5d09-4c72-b0fe-66bd9334fed4,2027-04-26,Low,false,CK,Compliant,2026-02-20T10:56:27.074Z
18482317-10e5-44a6-882e-1a36604f9dd3,2028-01-14,High,false,TL,Compliant,2026-02-20T10:56:27.074Z
4e648212-d074-4f5f-b8ad-193e7894697d,2026-09-05,Low,false,AX,Compliant,2026-02-20T10:56:27.074Z
31a20188-a11b-4b51-88a1-1626e6672665,2028-01-18,High,false,SO,Compliant,2026-02-20T10:56:27.074Z
448f1c29-a277-4990-b4e7-dbeb7b215ba5,2026-10-01,High,false,PT,Compliant,2026-02-20T10:56:27.074Z
c33d7233-fa24-4fcb-a984-489091046023,2027-08-30,High,false,AL,Compliant,2026-02-20T10:56:27.074Z
1cfd9d56-34e2-4a58-9a47-cf4c3e6744a5,2026-12-18,High,false,UY,Compliant,2026-02-20T10:56:27.075Z
4680ca1a-47f4-43ff-8fb9-17c349ca3869,2026-11-08,Medium,false,CY,Compliant,2026-02-20T10:56:27.075Z
a4f4d7c7-703c-488c-a393-4274dfefdf94,2026-10-28,High,false,MQ,Compliant,2026-02-20T10:56:27.075Z
dc2ad9db-7872-4099-8b3d-921443e095c3,2027-01-04,Medium,false,NC,Compliant,2026-02-20T10:56:27.075Z
af2f24d1-cc8d-4b25-8809-02a1c5c25bea,2027-03-08,Low,false,SJ,Compliant,2026-02-20T10:56:27.075Z
9bf65fc5-bd84-46a6-b8ac-1eadfd90a0b2,2026-04-17,Medium,false,CW,Compliant,2026-02-20T10:56:27.075Z
110107bc-1f87-4507-aa4a-cfd0f1c95f8a,2026-05-02,Medium,false,BD,Compliant,2026-02-20T10:56:27.075Z
5f74a18c-d8b8-4324-b229-1fac78ab0f52,2027-01-27,Low,false,VG,Compliant,2026-02-20T10:56:27.075Z
e49a9d99-ef57-41d1-bb8c-14102c2b9e31,2026-06-11,Low,false,OM,Compliant,2026-02-20T10:56:27.075Z
3be0cacb-efef-4761-a308-23b961910bb8,2026-03-20,High,false,LC,Compliant,2026-02-20T10:56:27.075Z
91d54204-1596-4ed7-9d9f-30ff86e3015f,2026-10-12,Medium,false,LC,Compliant,2026-02-20T10:56:27.075Z
1b6b8ed7-0157-4b0d-9bd6-965604c6beb3,2026-04-26,Low,false,RW,Compliant,2026-02-20T10:56:27.075Z
3068167b-dc4f-4cc4-ba87-d2eb96adb4b5,2026-05-08,Low,false,BD,Compliant,2026-02-20T10:56:27.075Z
52f5c3bc-a80b-40c6-bee9-7be1cc132bca,2026-04-23,Medium,false,ML,Compliant,2026-02-20T10:56:27.075Z
2bd137c5-ee44-42a2-b963-e8de7dfe28bf,2027-04-18,High,false,DO,Compliant,2026-02-20T10:56:27.076Z
345cdce7-9609-4b69-808f-ccb7695d145a,2026-03-31,Low,false,FJ,Compliant,2026-02-20T10:56:27.076Z
c0bd13ac-5409-4788-81b4-93a4479fad8b,2027-03-28,Low,false,UZ,Compliant,2026-02-20T10:56:27.076Z
ccd379ce-dfe1-4707-ab15-7dee7e24e6b0,2026-03-11,Low,false,ML,Compliant,2026-02-20T10:56:27.076Z
a20d7927-a7fb-4710-b128-7ed523236c4f,2026-05-09,Low,false,NR,Compliant,2026-02-20T10:56:27.076Z
fc27ecf0-b343-4a92-a529-935143a2c058,2027-06-04,Medium,false,SY,Compliant,2026-02-20T10:56:27.076Z
cf69218f-3dee-4a68-90d1-e3cf30fc9575,2026-06-10,High,false,CL,Compliant,2026-02-20T10:56:27.076Z
026652f6-9bf8-44b9-a117-1ff6b73061f8,2027-03-10,Low,true,AT,Compliant,2026-02-20T10:56:27.076Z
a8dff452-8277-4599-a3a1-cf86bc74102b,2027-05-05,Medium,false,AI,Compliant,2026-02-20T10:56:27.076Z
ff6c2bbd-a831-45fc-9f12-66246b168f00,2027-01-26,High,false,RE,Compliant,2026-02-20T10:56:27.076Z
dd9a11fe-b091-4832-9247-b0f36fd1ebd5,2026-06-17,Low,false,MT,Compliant,2026-02-20T10:56:27.076Z
af985e02-c386-4d8f-b38b-1ed9501bc861,2027-10-30,Medium,false,MG,Compliant,2026-02-20T10:56:27.076Z
2e8b9915-beae-4f8e-bd2e-c59ac307eabc,2027-11-24,High,false,NI,Compliant,2026-02-20T10:56:27.076Z
c5d523fb-22b5-40ae-aa5a-137f0c500c65,2027-02-07,Low,false,BG,Compliant,2026-02-20T10:56:27.076Z
5a54d5df-2083-43d0-911c-bf39334e6fd1,2026-07-27,High,false,AO,Compliant,2026-02-20T10:56:27.076Z
d9d2d87e-06ce-43c8-9166-30460c0fa907,2027-01-29,Medium,false,CV,Compliant,2026-02-20T10:56:27.076Z
e3e0b3d3-a3a0-4e83-97d3-74d118322e28,2027-01-27,Medium,false,TO,Compliant,2026-02-20T10:56:27.076Z
744ea1cb-08a8-4442-8130-fe36108b069c,2026-06-07,Low,false,IT,Compliant,2026-02-20T10:56:27.076Z
5038a5f4-6e6a-4802-b16a-79dc0df985c4,2026-12-26,Low,false,ZW,Compliant,2026-02-20T10:56:27.076Z
6d32e03c-705a-4978-92de-f7deb96678fb,2026-06-21,Low,false,KW,Compliant,2026-02-20T10:56:27.076Z
4636e742-68c0-458f-be3c-a9993b33d8ca,2026-06-21,Medium,false,UZ,Compliant,2026-02-20T10:56:27.076Z
e3bf91de-570f-4df5-a180-e1689dc21527,2027-02-27,Medium,false,KM,Compliant,2026-02-20T10:56:27.076Z
5affabf4-dce9-48db-961f-6a78d18458a9,2026-03-30,Medium,false,WF,Compliant,2026-02-20T10:56:27.077Z
45b05fb4-08aa-4c5a-92f8-1a0272afb7d2,2026-04-03,High,false,BJ,Compliant,2026-02-20T10:56:27.077Z
2261dbcf-bd61-4940-b90d-649ac3f234a6,2028-02-02,Low,false,BW,Compliant,2026-02-20T10:56:27.077Z
8a6f15be-5858-48c4-b839-f02918aee430,2027-09-20,Medium,false,SJ,Compliant,2026-02-20T10:56:27.077Z
b62e2aeb-2245-4d65-ba27-58348577841a,2027-12-08,Medium,false,GQ,Compliant,2026-02-20T10:56:27.077Z
3ec8f536-97cf-4d4b-bfeb-1e55f4ff639e,2026-11-30,Medium,false,LI,Compliant,2026-02-20T10:56:27.077Z
0a3a33d2-200b-4885-a7dc-b86dd4e8b50e,2027-03-13,Low,false,KN,Compliant,2026-02-20T10:56:27.077Z
82f82461-61b0-4399-93eb-bcbdbd6fbdf2,2027-08-01,High,false,NR,Compliant,2026-02-20T10:56:27.077Z
42e140b5-0629-4eb0-a7a2-eafca85b479e,2027-10-25,Low,false,GM,Compliant,2026-02-20T10:56:27.077Z
f310a2a6-59a9-4c40-8ea8-995ae46d4b55,2026-07-25,Low,false,MF,Compliant,2026-02-20T10:56:27.077Z
c39ce419-0b0f-42eb-851c-8cd603bf5612,2027-01-01,Medium,false,TW,Compliant,2026-02-20T10:56:27.077Z
f77bc5f5-6b4c-478c-8169-7c3faaba108d,2026-09-07,Low,false,TH,Compliant,2026-02-20T10:56:27.077Z
8834ad66-8292-466f-8d0b-4b049d35455d,2028-02-04,Low,false,GY,Compliant,2026-02-20T10:56:27.077Z
7db54409-71d1-4ddd-bbf5-45a1471ac4da,2026-08-18,Medium,false,TC,Compliant,2026-02-20T10:56:27.077Z
e8cbde6e-8595-41cd-8f3c-e57f9eb16e25,2027-04-21,High,false,MS,Compliant,2026-02-20T10:56:27.077Z
25d90fd3-4841-41a8-bda1-d025c3dca1c5,2027-07-30,High,true,CV,Compliant,2026-02-20T10:56:27.077Z
3602c670-9ef3-4765-92ce-e8e9286cac37,2027-02-24,Medium,false,TM,Compliant,2026-02-20T10:56:27.077Z
b9779681-eccc-4540-95fd-6332e56930b4,2026-09-07,Low,false,MT,Compliant,2026-02-20T10:56:27.077Z
9fabd352-f0c0-4d6e-ac45-659b9d65288a,2027-07-09,Medium,false,HN,Compliant,2026-02-20T10:56:27.077Z
